file,rows,pos,neg,pos_rate,online_f1
submission_spw_t50.csv,185,147,38,0.7946,0.816479401
submission_ensemble.csv,185,178,7,0.9622,0.810408922
submission_ensemble_t60.csv,185,149,36,0.8054,0.810408922
submission_ensemble_t65.csv,185,134,51,0.7243,0.795275591
submission_all_one.csv,185,185,0,1,0.786885246
submission_xgb.csv,185,171,14,0.9243,0.789115646
submission_spw_t55.csv,185,130,55,0.7027,0.784
submission_ensemble_t70.csv,185,107,78,0.5784,0.73
submission_ensemble_t55.csv,185,162,23,0.8757,
submission_lgbm.csv,185,181,4,0.9784,
submission_spw_t30.csv,185,184,1,0.9946,
submission_spw_t35.csv,185,181,4,0.9784,
submission_spw_t40.csv,185,172,13,0.9297,
submission_spw_t45.csv,185,161,24,0.8703,0.818505338
submission_spw_t46.csv,185,159,26,0.8595,
submission_spw_t47.csv,185,159,26,0.8595,0.817204301
submission_spw_t48.csv,185,154,31,0.8324,0.8248
submission_spw_t49.csv,185,149,36,0.8054,0.810408922
submission_spw_t51.csv,185,143,42,0.773,0.798479087
submission_spw_t52.csv,185,140,45,0.7568,
submission_spw_t53.csv,185,136,49,0.7351,
submission_spw_t60.csv,185,109,76,0.5892,
submission_ms_t43.csv,185,161,24,0.8703,
submission_ms_t45.csv,185,157,28,0.8486,
submission_ms_t46.csv,185,155,30,0.8378,0.814545455
submission_ms_t47.csv,185,154,31,0.8324,0.817518248
submission_ms_t48.csv,185,150,35,0.8108,
submission_ms_t49.csv,185,147,38,0.7946,
submission_ms_t50.csv,185,144,41,0.7784,
submission_ms_t51.csv,185,141,44,0.7622,
submission_ms_t52.csv,185,140,45,0.7568,
submission_kmer_t43.csv,185,158,27,0.8541,
submission_kmer_t45.csv,185,155,30,0.8378,0.829090909
submission_kmer_t46.csv,185,153,32,0.827,0.835164835
submission_kmer_t47.csv,185,151,34,0.8162,0.833948339
submission_kmer_t48.csv,185,148,37,0.8,
submission_kmer_t49.csv,185,144,41,0.7784,
submission_kmer_t50.csv,185,141,44,0.7622,
submission_kmer_t51.csv,185,136,49,0.7351,
submission_kmer_t52.csv,185,135,50,0.7297,
submission_kmi_t43.csv,185,162,23,0.8757,
submission_kmi_t45.csv,185,156,29,0.8432,
submission_kmi_t46.csv,185,154,31,0.8324,
submission_kmi_t47.csv,185,154,31,0.8324,
submission_kmi_t48.csv,185,153,32,0.8270,
submission_kmi_t49.csv,185,149,36,0.8054,
submission_kmi_t50.csv,185,145,40,0.7838,
submission_kmi_t51.csv,185,140,45,0.7568,
submission_kmi_t52.csv,185,134,51,0.7243,
